"","model","auc"
"1","AFD",0.975308641975309
"2","LDA",0.975308641975309
"3","LDA simple",0.972315750093528
"4","QDA",0.972315750093528
"5","QDA simple",0.981668537224093
"6","GLM",0.880097268986158
"7","Ridge",0.981668537224093
"8","Lasso",0.979423868312757
"9","RF",0.96109240553685
"10","RF.balanced",0.974747474747475
"11","SVM lin",0.975308641975309
"12","SVM rbf",0.986157875046764
"13","CART naive",0.876169098391321
"14","CART",0.844743733632622
"15","CART opti",0.87037037037037
"16","ADABoost",0.972315750093528
"17","ADABoost CV adaboost",0.966704077815189
"18","ADABoost CV bernoulli",0.972315750093528
