"","model","accuracy"
"1","AFD",0.921052631578947
"2","LDA",0.903508771929825
"3","LDA.simple",0.912280701754386
"4","QDA",0.947368421052632
"5","QDA.simple",0.947368421052632
"6","GLM",0.885964912280702
"7","Ridge",0.947368421052632
"8","Lasso",0.947368421052632
"9","RF",0.929824561403509
"10","RF.bal",0.921052631578947
"11","SVM lin",0.93859649122807
"12","SVM rbf",0.93859649122807
"13","CART naive",0.912280701754386
"14","CART",0.903508771929825
"15","CART opti",0.903508771929825
"16","ADAB",0.929824561403509
"17","ADAB.cv.ada",0.921052631578947
"18","ADABoost.cv.ber",0.929824561403509
